analysis_type,cancer_type,research_area,study_type,data_source,cbioportal_usage_summary,specific_datasets,confidence,paper_id,title,year,classified_date
"['Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Prostate cancer'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],"['TCGA', 'Multiple sources']","The study used cBioPortal to analyze public datasets for PCP4 gene expression patterns, copy number alterations (including PCP4 gene loss/deletion), and the relationship between PCP4 expression and clinicopathological characteristics in prostate cancer patients. The analysis also examined the co-occurrence of TMPRSS2-ERG fusion with PCP4 deletion and correlated PCP4 expression with patient prognosis, particularly in castration-resistant prostate cancer (CRPC) development.",['TCGA'],medium,40746562,PCP4 inhibits the progression of prostate cancer through Ca<sup>2+</sup>/CAMKK2/AMPK/AR pathway.,2025,2025-12-19T01:54:19.235928
"['Mutation analysis', 'Pathway analysis']",['Other solid tumor'],"['Biomarker discovery', 'Precision medicine']",['Original research'],"['Custom/Private data', 'Multiple sources']","Based on the abstract, cBioPortal was likely used to compare the mutational profiles of Korean BCC patients with Caucasian cohort data and to annotate Korean-specific mutations using OncoKB (which is integrated with cBioPortal). The study compared ethnic-specific variants and validated oncogenic gain-of-function/loss-of-function variants against cBioPortal's curated databases. However, the specific details of cBioPortal usage are not explicitly described in the provided abstract.",[],medium,40725190,Ethnic-Specific and UV-Independent Mutational Signatures of Basal Cell Carcinoma in Koreans.,2025,2025-12-19T01:54:25.685655
"['Gene expression analysis', 'Mutation analysis', 'Copy number analysis', 'Survival analysis']","['Breast cancer', 'Colorectal cancer', 'Other solid tumor']","['Review/Commentary', 'Biomarker discovery', 'Precision medicine']",['Review'],['Not specified'],"This is a comprehensive review paper on PHF20L1 as an epigenetic regulator in cancer. While the paper cites cBioPortal, the abstract and introduction do not provide specific details about how cBioPortal data was used. The review likely references cBioPortal data to support discussions of PHF20L1 expression, mutations, or clinical correlations across various cancer types including breast, ovarian, colorectal cancers, and retinoblastomas.",[],low,40723918,PHF20L1: An Epigenetic Regulator in Cancer and Beyond.,2025,2025-12-19T01:54:31.913109
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Lung cancer'],"['Biomarker discovery', 'Pathway analysis', 'Precision medicine']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on single-cell RNA sequencing (scRNA-seq) analysis of LUAD patient cohorts, with clustering, trajectory analysis, and cell-cell communication network analysis. cBioPortal may have been cited in the references for context or comparison purposes, but its specific use in the methodology is not described in the provided text.",[],low,40722679,Single-Cell Transcriptomic Analysis Unveils Key Regulators and Signaling Pathways in Lung Adenocarcinoma Progression.,2025,2025-12-19T01:54:38.110304
"['Gene expression analysis', 'Mutation analysis']",['Breast cancer'],"['Drug response/resistance', 'Pathway analysis']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of how cBioPortal was used in this study. The paper focuses on experimental work investigating HDAC6's regulation of fumarate hydratase (FH) activity in triple-negative breast cancer cells using techniques like mass spectrometry, super-resolution microscopy, and metabolic labeling. cBioPortal may have been cited in the references for background information or data validation, but specific usage is not described in the provided text.",[],low,40721560,Inhibition of HDAC6 alters fumarate hydratase activity and mitochondrial structure.,2025,2025-12-19T01:54:45.248650
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis']",['Leukemia/Lymphoma'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],"['TCGA', 'Multiple sources']","Based on the abstract, this study investigates PHF6 and PHIP mutations in acute myeloid leukemia (AML). cBioPortal was likely used to analyze the frequency and clinical significance of PHF6 and PHIP mutations across AML patient cohorts, particularly noting that PHIP is the most common selective mutation in Black patients with AML. The portal may have been used to examine mutation patterns, survival outcomes associated with PHF6 mutations, and to identify these genes as recurrently mutated in AML.",['TCGA-LAML'],medium,40721297,Leukemia mutated proteins PHF6 and PHIP form a chromatin complex that represses acute myeloid leukemia stemness.,2025,2025-12-19T01:54:51.606814
"['Gene expression analysis', 'Other']",['Prostate cancer'],"['Drug response/resistance', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on a high-throughput drug screening approach to identify synergistic drug combinations targeting Bcl-xL and Mcl-1 in AR-V7-expressing CRPC models using cell lines and patient-derived organoids. cBioPortal may have been cited in the references for background information or context, but specific usage details are not described in the provided text.",[],low,40704654,Direct Co-Targeting of Bcl-xL and Mcl-1 Exhibits Synergistic Effects in AR-V7-Expressing CRPC Models.,2025,2025-12-19T01:54:57.678452
"['Mutation analysis', 'Other']",['Pan-cancer'],"['Methods/Tools development', 'Review/Commentary', 'Precision medicine']",['Review'],['Not specified'],"This is a review paper about multiplexed assays of variant effect (MAVEs) for clinical variant interpretation. Based on the abstract and introduction provided, there is no explicit description of how cBioPortal was used in this study. The paper likely cites cBioPortal as a reference resource for cancer genomics data or variant annotation, but specific usage details are not evident from the provided text.",[],low,40691352,Multiplexed assays of variant effect for clinical variant interpretation.,2025,2025-12-19T01:55:03.273999
"['Gene expression analysis', 'Survival analysis', 'Multi-omics integration', 'Pathway analysis']",['Lung cancer'],"['Biomarker discovery', 'Drug response/resistance', 'Immunotherapy', 'Precision medicine']",['Original research'],"['TCGA', 'Multiple sources']","Based on the abstract, this study utilized multi-omics data to analyze lung adenocarcinoma (LUAD), developing a risk score model (SPRS) for prognosis prediction. While cBioPortal is cited, the abstract does not explicitly detail how cBioPortal was used, though it likely served as a source for accessing TCGA-LUAD and other genomic datasets given the multi-omics nature of the study. The study integrated various data types to analyze proliferating cells, immune microenvironment, and treatment response.",['TCGA-LUAD'],medium,40681687,Integrative multi-omics and machine learning reveal critical functions of proliferating cells in prognosis and personalized treatment of lung adenocarcinoma.,2025,2025-12-19T01:55:10.629971
"['Mutation analysis', 'Pathway analysis']",['Other solid tumor'],"['Tumor evolution', 'Methods/Tools development']",['Original research'],['Multiple sources'],"Based on the abstract and introduction, the paper analyzes somatic mutations across esophageal tissue development and tumorigenesis using sequence data from 2171 samples. While cBioPortal is cited, the specific usage is not detailed in the provided text. The study likely used cBioPortal to access esophageal squamous-cell carcinoma mutation data for their evolutionary modeling analysis of driver mutations including NOTCH1, NOTCH2, FAT1, TP53, and RB1.",['TCGA-ESCA'],medium,40667321,Early <i>NOTCH1</i> mutation is positively selected but epistatically suppresses evolution of later esophageal squamous-cell carcinoma drivers.,2025,2025-12-19T01:55:17.018939
"['Gene expression analysis', 'Survival analysis']",['Glioma/Brain cancer'],"['Drug response/resistance', 'Biomarker discovery']",['Original research'],['TCGA'],"Based on the abstract and introduction provided, the paper focuses on experimental investigation of PGE2-induced neuronal excitation in glioblastoma drug resistance and development of a novel therapeutic compound. While cBioPortal is cited, the abstract does not provide specific details about how cBioPortal was used. It is likely that cBioPortal was used to analyze gene expression patterns and survival data from TCGA glioblastoma datasets to validate findings or identify correlations between PGE2 pathway components and clinical outcomes.",['TCGA-GBM'],low,40658067,Contribution of Prostaglandin E2-Induced Neuronal Excitation to Drug Resistance in Glioblastoma Countered by a Novel Blood-Brain Barrier Crossing Celecoxib Derivative.,2025,2025-12-19T01:55:23.560512
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']","['Pan-cancer', 'Breast cancer']","['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis', 'Immunotherapy']",['Original research'],"['TCGA', 'Multiple sources']","The cBioPortal database was used to explore potential MZF1 mutations across different cancer types. This analysis was part of a comprehensive pan-cancer study examining the oncogenic potential and prognostic value of MZF1. The mutation analysis complemented other analyses including gene expression, survival, and immune microenvironment characterization.",['TCGA'],medium,40655141,"<i>Myeloid Zinc Finger 1</i>: insights into its oncogenic potential, prognostic value, and impact on immune microenvironment across cancers.",2025,2025-12-19T01:55:29.276969
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Mutation analysis']",['Other solid tumor'],"['Drug response/resistance', 'Biomarker discovery', 'Pathway analysis']",['Original research'],['TCGA'],"cBioPortal was used to retrieve and analyze primary clinical data from the TCGA database for patients with translocation renal cell carcinoma (tRCC), papillary renal cell carcinoma (pRCC), and clear cell renal cell carcinoma (ccRCC). The platform facilitated differential gene expression analysis, survival analysis, and the assessment of curcumin's impact on transcriptomic profiles across these RCC subtypes. The analysis included evaluation of sensitive genes' impact on survival in KIRC and KIRP datasets.","['TCGA-KIRC', 'TCGA-KIRP']",high,40649942,"Comparative Transcriptomics Study of Curcumin and Conventional Therapies in Translocation, Clear Cell, and Papillary Renal Cell Carcinoma Subtypes.",2025,2025-12-19T01:55:35.474913
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Lung cancer'],"['Drug response/resistance', 'Biomarker discovery', 'Precision medicine']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The research focuses on experimental validation of the ARAF p.S214C mutation using engineered cell lines and animal models, followed by transcriptomics and proteomics analyses. While the paper cites cBioPortal, the specific usage details are not described in the provided text.",[],low,40647542,Oncogenic Activity and Sorafenib Sensitivity of <i>ARAF</i> p.S214C Mutation in Lung Cancer.,2025,2025-12-19T01:55:41.168079
"['Mutation analysis', 'Copy number analysis', 'Survival analysis']","['Breast cancer', 'Lung cancer', 'Prostate cancer', 'Other solid tumor']","['Biomarker discovery', 'Precision medicine', 'Methods/Tools development']","['Original research', 'Clinical study']",['Custom/Private data'],"Based on the abstract and introduction provided, the specific usage of cBioPortal is not explicitly described. The study appears to focus on analyzing next generation sequencing data from 282 spine metastases using their own institutional sequencing platform and machine learning algorithms. While cBioPortal is cited, the exact role it played in the analysis (e.g., for validation, comparison, or data visualization) is not clear from the provided text.",[],low,40647516,Integration of Next Generation Sequencing Data to Inform Survival Prediction of Patients with Spine Metastasis.,2025,2025-12-19T01:55:47.465399
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Other solid tumor'],"['Biomarker discovery', 'Pathway analysis', 'Immunotherapy']",['Original research'],['TCGA'],"The paper cites cBioPortal as a cancer genomics data portal, but the abstract and introduction do not explicitly describe how cBioPortal was used in the analysis. The study primarily analyzed TCGA mRNA and miRNA data using other tools like TIMER2.0, enrichr, multiMiR, CIBERSORT, and ImmuCellAI for various analyses. cBioPortal may have been used for data access or preliminary exploration, but specific usage details are not provided in the available text.",['TCGA-PAAD'],low,40647442,The Role of ENHO in Pancreatic Adenocarcinoma: A Bioinformatics Approach.,2025,2025-12-19T01:55:54.157468
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Other solid tumor'],"['Biomarker discovery', 'Pathway analysis', 'Precision medicine', 'Drug response/resistance']",['Original research'],"['TCGA', 'Multiple sources']","The study integrated data from the TCGA-LIHC cohort to identify translatable lncRNAs associated with hepatocellular carcinoma (HCC). The authors used TCGA data to analyze ASH1L-AS1 expression patterns, correlate them with disease progression, poor prognosis, immunosuppressive tumor microenvironment, and estrogen signaling. This analysis helped establish the clinical relevance of ASH1L-AS1 and its encoded microprotein APPLE in HCC pathogenesis.",['TCGA-LIHC'],medium,40646641,Non-canonical activation of MAPK signaling by the lncRNA ASH1L-AS1-encoded microprotein APPLE through inhibition of PP1/PP2A-mediated ERK1/2 dephosphorylation in hepatocellular carcinoma.,2025,2025-12-19T01:56:00.444431
"['Mutation analysis', 'Survival analysis', 'Multi-omics integration']",['Melanoma'],"['Drug response/resistance', 'Precision medicine', 'Biomarker discovery', 'Methods/Tools development']","['Original research', 'Clinical study']","['Custom/Private data', 'Multiple sources']","Based on the abstract, this study used machine learning to predict progression-free survival (PFS) in BRAF V600-mutated melanoma patients treated with MAPK inhibitors. The study incorporated baseline genomic data including mutation rates along with clinical features to improve prediction models. While cBioPortal is cited, the abstract does not explicitly describe how cBioPortal was used, though it likely served as a source for genomic data or validation datasets given the study's focus on melanoma genomic features.",[],medium,40634697,Improved prediction of MAPKi response duration in melanoma patients using genomic data and machine learning.,2025,2025-12-19T01:56:07.002036
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Multi-omics integration']",['Leukemia/Lymphoma'],"['Biomarker discovery', 'Drug response/resistance', 'Precision medicine']","['Original research', 'Clinical study']",['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on multiomic analysis of ETV6::RUNX1 leukemia samples to identify genomic features predictive of therapy response, but the specific data sources and analysis platforms used are not detailed in the provided text. cBioPortal may have been cited as a reference tool or for comparative purposes, but direct usage is not evident from the available information.",[],low,40634509,Genomic determinants of therapy response in ETV6::RUNX1 leukemia.,2025,2025-12-19T01:56:13.168744
['Mutation analysis'],"['Lung cancer', 'Colorectal cancer', 'Pan-cancer']","['Drug response/resistance', 'Precision medicine']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, cBioPortal usage is not explicitly described in these sections. The paper focuses on developing covalent inhibitors targeting K-Ras(G13C) mutations and testing them in cancer cell lines. cBioPortal may have been cited for reference purposes or used to identify the prevalence of G13C mutations in different cancer types, but specific usage details are not provided in the available text.",[],low,40629868,Distal Covalent Targeting Suppresses Signaling of Oncogenic K-Ras(G13C) in Cancer Cells.,2025,2025-12-19T01:56:19.567576
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Other solid tumor'],"['Drug response/resistance', 'Precision medicine', 'Biomarker discovery']",['Original research'],"['TCGA', 'Multiple sources']","Based on the abstract, this paper focuses on functional drug screening and kinome-based signaling assessment to identify therapeutic vulnerabilities in ovarian cancer. While cBioPortal is cited, the abstract does not provide explicit details about how cBioPortal was used. It is likely that cBioPortal was used to access genomic data (potentially TCGA ovarian cancer data) to characterize the diverse oncogenic alterations mentioned or to validate findings, but specific usage details are not clear from the abstract alone.",['TCGA'],medium,40628262,Unlocking the therapeutic potential of rigosertib as a selective therapy for ovarian cancer.,2025,2025-12-19T01:56:26.963393
['Mutation analysis'],['Colorectal cancer'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']","['Custom/Private data', 'Multiple sources']","Based on the abstract and introduction provided, the specific use of cBioPortal is not explicitly described. The study mentions ""comparative analysis with public datasets"" to evaluate the identified variants of uncertain significance, and cBioPortal may have been used as one of these public reference databases for comparing variant frequencies and pathogenicity assessments. However, without access to the methods section, the exact role of cBioPortal remains unclear.",[],low,40627234,High burden of variants of uncertain significance in early-onset colorectal cancer among indigenous African patients: a call for global research equity in cancer genetics.,2025,2025-12-19T01:56:34.067884
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis']",['Other solid tumor'],['Biomarker discovery'],['Original research'],['Custom/Private data'],"Based on the abstract and title alone, there is no explicit mention of cBioPortal usage in this study. The paper focuses on immunohistochemistry analysis of KDM6A expression in a tissue microarray of over 2,500 bladder tumors and sequencing of 78 cancers. The study appears to use primarily custom/private data from their own tissue samples rather than public databases accessed through cBioPortal.",[],low,40626673,KDM6A expression loss is frequent in low grade non-invasive urothelial carcinomas of the urinary bladder.,2025,2025-12-19T01:56:40.526397
"['Gene expression analysis', 'Mutation analysis']","['Lung cancer', 'Other solid tumor', 'Pan-cancer']","['Biomarker discovery', 'Drug response/resistance']",['Original research'],"['TCGA', 'Multiple sources']","Based on the abstract and introduction provided, the specific usage of cBioPortal is not explicitly detailed. However, given that this is a cancer genomics study examining RNPC3 and minor spliceosome components across multiple cancer types (liver, lung, gastric), cBioPortal was likely used to query mutation frequencies, expression patterns, or survival associations of RNPC3 and related genes across TCGA cancer datasets. The pan-cancer nature of the findings suggests potential use of cBioPortal for cross-cancer comparisons.",[],low,40624356,Inhibition of the minor spliceosome restricts the growth of a broad spectrum of cancers.,2025,2025-12-19T01:56:47.773628
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Multi-omics integration']",['Melanoma'],"['Drug response/resistance', 'Database/Resource', 'Precision medicine']","['Methods/Software', 'Meta-analysis']","['Multiple sources', 'Custom/Private data']","Based on the abstract and introduction provided, this paper describes the creation of MelanoDB, a curated dataset integrating clinical and molecular data from nine patient cohorts with advanced melanoma treated with MAPK inhibitors. While cBioPortal is cited, the specific usage is not detailed in the provided text. The paper appears to be creating a new resource/database rather than primarily using cBioPortal for analysis, though cBioPortal may have been referenced for comparison or methodology.",[],low,40615439,MelanoDB: A dataset of clinical and molecular features of patients with advanced melanoma treated with MAPK inhibitors.,2025,2025-12-19T01:56:54.257747
"['Gene expression analysis', 'Mutation analysis']",['Breast cancer'],"['Biomarker discovery', 'Methods/Tools development']",['Original research'],['TCGA'],"Based on the abstract and introduction provided, the paper focuses on biochemical validation of NSUN6-mediated m5C modification in mRNA and its role in breast cancer cell migration. While cBioPortal is cited, the specific usage is not detailed in the provided text. It was likely used to analyze NSUN6 expression or mutation patterns in breast cancer datasets from TCGA or other sources to support the clinical relevance of their findings.",['TCGA'],low,40615396,A cohort of mRNAs undergo high-stoichiometry NSUN6-mediated site-specific m<sup>5</sup>C modification.,2025,2025-12-19T01:57:00.366498
"['Gene expression analysis', 'Mutation analysis']",['Glioma/Brain cancer'],"['Review/Commentary', 'Biomarker discovery']",['Review'],['Not specified'],"This is a review paper that summarizes existing literature on epigenetic regulation of small GTPases in glioma. The paper does not appear to directly use cBioPortal for original analysis, but rather reviews and synthesizes findings from previous studies that may have utilized various databases including cBioPortal. The focus is on how abnormal epigenetic modifications affect small GTPase expression in glioma, noting that structural gene changes are rare but epigenetic dysregulation is common.",[],low,40613212,The role of abnormal epigenetic regulation of small GTPases in glioma (Review).,2025,2025-12-19T01:57:07.183106
"['Mutation analysis', 'Pathway analysis']",['Colorectal cancer'],"['Biomarker discovery', 'Precision medicine']",['Original research'],['Custom/Private data'],"Based on the abstract, this study primarily used the Guardant360 database (a commercial ctDNA profiling platform) with ~17,000 samples for their main analysis. cBioPortal appears to be cited for reference or validation purposes, likely to compare their PIK3CA mutation frequencies and exon distribution findings with previously published literature data available through cBioPortal. The study does not appear to use cBioPortal as a primary data source for their analysis.",[],low,40610594,Comprehensive analysis of PIK3CA mutations in advanced colorectal cancer using circulating tumor DNA profiling.,2025,2025-12-19T01:57:13.625591
['Mutation analysis'],['Colorectal cancer'],['Biomarker discovery'],"['Original research', 'Clinical study']",['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper describes a retrospective analysis of 159 colon resection cases where DNA mutations were analyzed by next-generation sequencing (NGS), comparing micropapillary carcinomas (MPCs) with non-MPCs. The study appears to have used institutional/custom data from colon resection cases rather than cBioPortal data, though cBioPortal may have been cited in the references for context or comparison purposes.",[],low,40598036,Comparison of somatic mutations and clinicopathologic features of micropapillary and non-micropapillary colorectal carcinomas.,2025,2025-12-19T01:57:19.513116
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Multi-omics integration']","['Pan-cancer', 'Lung cancer']","['Biomarker discovery', 'Pathway analysis']",['Original research'],['Multiple sources'],"The study utilized cBioPortal to conduct a comprehensive pan-cancer analysis of ASCC1/2/3 genes across 10,967 tumor samples from 30 distinct cancer types. cBioPortal was used to identify genetic alterations (mutations, copy number changes) in ASCC family members, with findings showing alterations in 754 cases (7% of patients), and ASCC3 being the most frequently altered at 4%. The platform likely facilitated the analysis of gene expression patterns and correlation with immune cell infiltration across multiple cancer types.",['TCGA'],high,40594069,Pan-cancer analysis reveals ASCC family promotes the cancer progression of lung adenocarcinoma.,2025,2025-12-19T01:57:25.817093
"['Gene expression analysis', 'Survival analysis']",['Pan-cancer'],"['Pathway analysis', 'Biomarker discovery']",['Original research'],"['TCGA', 'Multiple sources']",The authors used cBioPortal to analyze the correlation between FOXK1 expression and E2F target gene expression in patient tumors. They likely queried gene expression data from multiple cancer types to demonstrate that high FOXK1 expression correlates with E2F pathway activation across different tumor types. This analysis provided clinical validation for their mechanistic findings showing FOXK1's role in promoting E2F-driven transcription and oncogenesis.,['TCGA'],medium,40593803,O-GlcNAcylation of FOXK1 co-opts BAP1 to orchestrate the E2F pathway and promotes oncogenesis.,2025,2025-12-19T01:57:32.572357
"['Gene expression analysis', 'Pathway analysis']",['Glioma/Brain cancer'],"['Pathway analysis', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the provided abstract and introduction, there is no explicit mention of how cBioPortal was used in this study. The research appears to be primarily laboratory-based using mouse astrocytoma cell lines (CT2A, KR158, DBT, DBT-Erp-29) to investigate Connexin43's role in promoting hybrid epithelial/mesenchymal phenotype in glioblastoma. cBioPortal may have been cited in the references for background information or validation purposes, but specific usage is not described in the provided text.",[],low,40591997,Connexin43 functions as a non-canonical phenotypic stability factor in promoting hybrid Epithelial/Mesenchymal phenotype in glioblastoma cells.,2025,2025-12-19T01:57:38.763866
['Other'],['Other solid tumor'],"['Drug response/resistance', 'Methods/Tools development']",['Original research'],['Not specified'],"Based on the provided abstract and introduction, there is no explicit mention of cBioPortal usage in this study. This paper focuses on the chemical development and characterization of novel α-diazoacetamide compounds that covalently target K-Ras(G12D) through denitrogenative alkylation. The study appears to be primarily a chemical biology/drug discovery paper testing compounds in KRAS(G12D)-driven cancer cell lines, without clear indication of cBioPortal data analysis.",[],low,40587607,Denitrogenative Alkylation of K-Ras(G12D) Inhibits Oncogenic Signaling in Cancer Cells.,2025,2025-12-19T01:57:45.186592
['Mutation analysis'],['Colorectal cancer'],['Biomarker discovery'],['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The authors conducted their own retrospective analysis of 159 colon resection cases using next-generation sequencing (NGS) to analyze DNA mutations. cBioPortal may have been cited as a reference or for comparison purposes, but the actual data analysis appears to have been performed on the authors' own institutional cohort rather than using cBioPortal data or tools.",[],low,40572720,Do Colorectal Serrated and Non-Serrated Adenocarcinomas Differ in Somatic Mutations and Clinicopathologic Features?,2025,2025-12-19T01:57:51.217182
['Other'],['Not specified'],['Other'],['Original research'],['Not specified'],This paper does not appear to use cBioPortal data or tools. The study is focused on Drosophila eye development and uses a forward-genetic screen approach to identify miR-137 as a regulator of Myc during development. The research is entirely based on Drosophila model organisms and does not involve human cancer genomics data or cBioPortal resources.,[],low,40554764,miR-137 targets Myc to regulate growth during eye development.,2025,2025-12-19T01:57:56.420088
"['Copy number analysis', 'Gene expression analysis', 'Survival analysis']",['Prostate cancer'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']",['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The research primarily utilized tissue microarray analysis with immunohistochemistry and fluorescence in situ hybridization on a large cohort of 17,747 prostate cancer samples. While the paper cites cBioPortal, the actual usage details are not described in the provided text, suggesting it may have been referenced for background information or validation purposes only.",[],low,40554389,Prognostic role of high MTAP expression is reversed by the ERG status in prostate cancer treated by radical prostatectomy.,2025,2025-12-19T01:58:02.732743
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Leukemia/Lymphoma'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis']",['Original research'],"['TCGA', 'Multiple sources']",The study used cBioPortal to analyze SLFN11 expression levels in AML patient samples and correlate them with clinical outcomes. The authors examined the relationship between SLFN11 expression and overall survival in AML patients using data accessed through cBioPortal. This analysis helped establish SLFN11 as a prognostic marker and predictor of chemotherapy sensitivity in AML.,['TCGA-LAML'],medium,40552140,Targeting SLFN11-regulated pathways restores chemotherapy sensitivity in AML.,2024,2025-12-19T01:58:08.593662
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Colorectal cancer'],"['Biomarker discovery', 'Pathway analysis', 'Immunotherapy']",['Original research'],['Multiple sources'],"The paper mentions using bioinformatics databases including Kaplan-Meier plotter and TIMER2.0 to assess RSU1 expression and prognosis in colorectal cancer. While cBioPortal is cited, the abstract does not explicitly detail how cBioPortal was specifically used, though it was likely used alongside other databases for expression and survival analysis of RSU1 in CRC. The study primarily relied on multiple bioinformatics resources for initial data mining before conducting in vitro validation experiments.",['Not specified'],low,40544194,RSU1 Mediates Caco-2 Colorectal Cancer Cells Proliferation and Migration via PI3K/AKT Signaling Pathway.,2025,2025-12-19T01:58:14.837689
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Other solid tumor'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis']",['Original research'],['Multiple sources'],"The study investigated CIC::DUX4 translocation-positive sarcomas (CDS), a rare and chemotherapy-resistant tumor type. cBioPortal was likely used to analyze genomic and transcriptomic data to identify upregulation of POLE and DNA repair pathways specific to CDS. The platform helped characterize the molecular features that may explain the high proliferation rate and treatment resistance of these tumors.",['Not specified in abstract'],medium,40542203,Upregulation of POLE and proficient DNA repair are features of CIC::DUX4 sarcomas.,2025,2025-12-19T01:58:20.223063
['Mutation analysis'],['Colorectal cancer'],"['Review/Commentary', 'Drug response/resistance', 'Biomarker discovery']",['Review'],['Not specified'],"This is a review paper that cites cBioPortal as a reference source. The paper discusses p53/TP53 mutations in colorectal cancer (detected in ~74% of cases) and therapeutic strategies targeting p53. While cBioPortal is cited, the abstract and introduction do not provide specific details about how cBioPortal data was directly analyzed or utilized in this review.",[],low,40537809,p53 in colorectal cancer: from a master player to a privileged therapy target.,2025,2025-12-19T01:58:25.866323
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis', 'Multi-omics integration']","['Pan-cancer', 'Other solid tumor']","['Biomarker discovery', 'Immunotherapy']",['Original research'],"['TCGA', 'Multiple sources']","This study used cBioPortal to access publicly available cancer genomics data for pan-cancer analysis of DBF4B. The platform was likely used to analyze DBF4B differential expression across multiple cancer types, examine associations with gene mutations, molecular and immune subtypes, immune infiltration, methylation patterns, and drug sensitivity. Particular focus was placed on liver hepatocellular carcinoma (LIHC) where DBF4B expression was correlated with clinical features and survival outcomes including overall survival, disease-specific survival, and progression-free interval.",['TCGA-LIHC'],medium,40535802,Pan-cancer analysis identifies DBF4B as an immunologic and prognostic biomarker.,2025,2025-12-19T01:58:31.776974
"['Gene expression analysis', 'Other']",['Not specified'],['Other'],['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on the role of ZC3H4 in maintaining genome integrity through suppression of noncoding RNA production and prevention of transcription-replication conflicts. The study appears to use bioinformatic analysis, biochemical methods, and super-resolution microscopy, but specific use of cBioPortal data or tools is not described in the provided text.",[],low,40531993,ZC3H4 safeguards genome integrity by preventing transcription-replication conflicts at noncoding RNA loci.,2025,2025-12-19T01:58:37.301859
['Other'],['Pan-cancer'],"['Precision medicine', 'Methods/Tools development']","['Methods/Software', 'Original research']",['Not specified'],"Based on the abstract and introduction provided, cBioPortal appears to be cited as a reference resource rather than directly used for data analysis in this study. The paper focuses on developing MONOCLE, a web application for molecular tumor board documentation and workflow optimization. The specific role of cBioPortal in this work is not clearly described in the provided text, suggesting it may be referenced as a related tool or data source rather than being central to the methodology.",[],low,40526350,Streamlining and Accelerating the Molecular Tumor Board Process at the University Medical Center Hamburg-Eppendorf.,2025,2025-12-19T01:58:44.134176
"['Gene expression analysis', 'Survival analysis', 'Copy number analysis', 'Mutation analysis']","['Pan-cancer', 'Other solid tumor']","['Biomarker discovery', 'Immunotherapy', 'Precision medicine']","['Original research', 'Clinical study']","['TCGA', 'Multiple sources']","While the abstract does not explicitly mention cBioPortal by name, the study utilized multiple public databases including TCGA and performed genetic alteration analysis, which is a typical cBioPortal function. The authors analyzed genetic alterations and identified gene amplification as the predominant form of aberration affecting DCAF5, suggesting cBioPortal was likely used for querying mutation and copy number data across cancer types. The pan-cancer analysis of DCAF5 expression patterns and genetic alterations is consistent with typical cBioPortal usage patterns.",['TCGA'],medium,40522583,Identification of DCAF5 as a novel cancer prognostic and immunotherapy biomarker through pan-cancer analysis and renal clear cell carcinoma clinical data validation.,2025,2025-12-19T01:58:50.616959
